event_id,country,year,program,event_name,source_url,lots,prices_reported,weights_reported,buyers_reported,price_coverage,weight_coverage,buyer_coverage
b26066e3491384bc,Honduras,2007,COE,2007,https://allianceforcoffeeexcellence.org/honduras-2007/,24,24,0,24,1,0,1
b762b1a91ef82ae0,Costa Rica,2014,COE,2014,https://allianceforcoffeeexcellence.org/costa-rica-2014/,24,24,0,24,1,0,1
bc5c1e38d691c08b,Burundi,2017,COE,2017,https://allianceforcoffeeexcellence.org/burundi-2017/,25,25,0,25,1,0,1
bc5c1e38d691c08b,Burundi,2017,NW,2017,https://allianceforcoffeeexcellence.org/burundi-2017/,8,2,0,2,0.25,0,0.25
bc80a53b61b50b1c,Brazil,2013,COE,2013,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2013/,32,32,0,32,1,0,1
becb5d5a8d06e2c4,Guatemala,2006,COE,2006,https://allianceforcoffeeexcellence.org/guatemala-2006/,25,25,0,25,1,0,1
c00d15b2e8b05812,Honduras,2023,COE,Honduras 2023,https://allianceforcoffeeexcellence.org/honduras-2023/,32,32,32,32,1,1,1
c0bf466579f2d947,Honduras,2021,COE,Honduras 2021,https://allianceforcoffeeexcellence.org/honduras-2021/,28,28,28,28,1,1,1
c1a563a1cea61442,Honduras,2017,COE,2017,https://allianceforcoffeeexcellence.org/honduras-2017/,27,27,0,27,1,0,1
c1a563a1cea61442,Honduras,2017,NW,2017,https://allianceforcoffeeexcellence.org/honduras-2017/,12,10,0,10,0.8333333333333334,0,0.8333333333333334
c56ff7f8e1e41dd6,Nicaragua,2009,COE,2009,https://allianceforcoffeeexcellence.org/nicaragua-2009/,26,26,0,26,1,0,1
c5947e46efa4a520,Mexico,2023,COE,Mexico 2023,https://allianceforcoffeeexcellence.org/mexico-2023/,29,29,29,29,1,1,1
c5f2e2e30775dfe7,Costa Rica,2009,COE,2009,https://allianceforcoffeeexcellence.org/costa-rica-2009/,24,24,0,24,1,0,1
c70d21b6380ff8fc,Ecuador,2021,COE,Ecuador 2021,https://allianceforcoffeeexcellence.org/ecuador-2021/,25,25,25,25,1,1,1
c8752ceee8bb53f1,Brazil,2006,COE,2006,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2006/,28,28,0,28,1,0,1
c991847a22ff1716,El Salvador,2023,COE,El Salvador 2023,https://allianceforcoffeeexcellence.org/el-salvador-2023/,33,33,33,33,1,1,1
cb99a98e8f70e864,Colombia,2017,COE,2017,https://allianceforcoffeeexcellence.org/colombia-2017/,36,36,0,36,1,0,1
cbb6685c1de9606c,Rwanda,2011,COE,2011,https://allianceforcoffeeexcellence.org/rwanda-2011/,36,36,0,36,1,0,1
cbe3c4b09a54bec0,Bolivia,2005,COE,2005,https://allianceforcoffeeexcellence.org/bolivia-2005/,19,19,0,19,1,0,1
cbf7cef16e2f2288,Colombia,2006,COE,2006 South,https://allianceforcoffeeexcellence.org/colombia-south-2006/,30,30,0,30,1,0,1
cc0114c82be5db63,Mexico,2019,COE,2019,https://allianceforcoffeeexcellence.org/mexico-2019/,31,31,31,31,1,1,1
ce40b6a6738bbb99,Costa Rica,2019,COE,2019,https://allianceforcoffeeexcellence.org/costa-rica-2019/,31,31,31,31,1,1,1
d097a68f0a5eff0b,Colombia,2012,COE,2012 South,https://allianceforcoffeeexcellence.org/colombia-south-2012/,30,30,0,30,1,0,1
d144777157aa3439,Costa Rica,2013,COE,2013,https://allianceforcoffeeexcellence.org/costa-rica-2013/,22,22,0,22,1,0,1
d1543b65c7f3dffe,Brazil,2018,COE,2018,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,35,35,0,35,1,0,1
d1543b65c7f3dffe,Brazil,2018,NW,2018,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,5,5,0,5,1,0,1
d499fbd326fc6ee9,Colombia,2010,COE,2010 South,https://allianceforcoffeeexcellence.org/colombia-south-2010/,21,21,0,21,1,0,1
