country,year,source_url,download_status,download_error,competition_rows,auction_rows
Guatemala,2019,https://allianceforcoffeeexcellence.org/guatemala-2019/,success,NA,23,17
Guatemala,2020,https://allianceforcoffeeexcellence.org/guatemala-2020/,success,NA,0,41
Guatemala,2021,https://allianceforcoffeeexcellence.org/guatemala-2021/,success,NA,40,42
Guatemala,2022,https://allianceforcoffeeexcellence.org/guatemala-2022/,success,NA,38,40
Guatemala,2023,https://allianceforcoffeeexcellence.org/guatemala-2023/,success,NA,34,34
Guatemala,2024,https://allianceforcoffeeexcellence.org/guatemala-2024/,success,NA,33,33
Guatemala,2025,https://allianceforcoffeeexcellence.org/guatemala-2025/,success,NA,38,38
Honduras,2004,https://allianceforcoffeeexcellence.org/honduras-2004/,success,NA,21,0
Honduras,2005,https://allianceforcoffeeexcellence.org/honduras-2005/,success,NA,41,0
Honduras,2006,https://allianceforcoffeeexcellence.org/honduras-2006/,success,NA,33,0
Honduras,2007,https://allianceforcoffeeexcellence.org/honduras-2007/,success,NA,24,0
Honduras,2008,https://allianceforcoffeeexcellence.org/honduras-2008/,success,NA,26,0
Honduras,2009,https://allianceforcoffeeexcellence.org/honduras-2009/,success,NA,39,0
Honduras,2010,https://allianceforcoffeeexcellence.org/honduras-2010/,success,NA,25,0
Honduras,2011,https://allianceforcoffeeexcellence.org/honduras-2011/,success,NA,33,0
Honduras,2012,https://allianceforcoffeeexcellence.org/honduras-2012/,success,NA,20,0
Honduras,2013,https://allianceforcoffeeexcellence.org/honduras-2013/,success,NA,22,0
Honduras,2014,https://allianceforcoffeeexcellence.org/honduras-2014/,success,NA,23,0
Honduras,2015,https://allianceforcoffeeexcellence.org/honduras-2015/,success,NA,38,0
Honduras,2016,https://allianceforcoffeeexcellence.org/honduras-2016/,success,NA,26,0
Honduras,2017,https://allianceforcoffeeexcellence.org/honduras-2017/,success,NA,27,13
Honduras,2018,https://allianceforcoffeeexcellence.org/honduras-2018/,success,NA,41,2
Honduras,2019,https://allianceforcoffeeexcellence.org/honduras-2019/,success,NA,33,6
Honduras,2021,https://allianceforcoffeeexcellence.org/honduras-2021/,success,NA,35,37
Honduras,2022,https://allianceforcoffeeexcellence.org/honduras-2022/,success,NA,31,33
Honduras,2023,https://allianceforcoffeeexcellence.org/honduras-2023/,success,NA,34,32
Honduras,2024,https://allianceforcoffeeexcellence.org/honduras-2024/,success,NA,32,33
Honduras,2025,https://allianceforcoffeeexcellence.org/honduras-2025/,success,NA,33,0
Indonesia,2021,https://allianceforcoffeeexcellence.org/indonesia-2021/,success,NA,32,34
Indonesia,2022,https://allianceforcoffeeexcellence.org/indonesia-2022/,success,NA,35,24
Indonesia,2023,https://allianceforcoffeeexcellence.org/indonesia-2023/,success,NA,27,29
Mexico,2012,https://allianceforcoffeeexcellence.org/mexico-2012/,success,NA,10,0
Mexico,2013,https://allianceforcoffeeexcellence.org/mexico-2013/,success,NA,16,0
Mexico,2014,https://allianceforcoffeeexcellence.org/mexico-2014/,success,NA,19,0
Mexico,2015,https://allianceforcoffeeexcellence.org/mexico-2015/,success,NA,20,0
Mexico,2017,https://allianceforcoffeeexcellence.org/mexico-2017/,success,NA,27,10
Mexico,2018,https://allianceforcoffeeexcellence.org/mexico-2018/,success,NA,33,5
Mexico,2019,https://allianceforcoffeeexcellence.org/mexico-2019/,success,NA,31,12
Mexico,2021,https://allianceforcoffeeexcellence.org/mexico-2021/,success,NA,40,42
Mexico,2022,https://allianceforcoffeeexcellence.org/mexico-2022/,success,NA,37,39
Mexico,2023,https://allianceforcoffeeexcellence.org/mexico-2023/,success,NA,38,38
Mexico,2024,https://allianceforcoffeeexcellence.org/mexico-2024/,success,NA,37,37
Mexico,2025,https://allianceforcoffeeexcellence.org/mexico-2025/,success,NA,37,37
Nicaragua,2002,https://allianceforcoffeeexcellence.org/nicaragua-2002/,success,NA,23,0
Nicaragua,2003,https://allianceforcoffeeexcellence.org/nicaragua-2003/,success,NA,37,0
Nicaragua,2004,https://allianceforcoffeeexcellence.org/nicaragua-2004/,success,NA,29,0
Nicaragua,2005,https://allianceforcoffeeexcellence.org/nicaragua-2005/,success,NA,35,0
Nicaragua,2006,https://allianceforcoffeeexcellence.org/nicaragua-2006/,success,NA,25,0
Nicaragua,2007,https://allianceforcoffeeexcellence.org/nicaragua-2007/,success,NA,34,0
Nicaragua,2008,https://allianceforcoffeeexcellence.org/nicaragua-2008/,success,NA,25,0
Nicaragua,2009,https://allianceforcoffeeexcellence.org/nicaragua-2009/,success,NA,26,0
Nicaragua,2010,https://allianceforcoffeeexcellence.org/nicaragua-2010/,success,NA,27,0
Nicaragua,2011,https://allianceforcoffeeexcellence.org/nicaragua-2011/,success,NA,27,0
