country,year,rank,farm,process_group,process,variety,process_family,source_url
El Salvador,2024,8,San Luis De Los Recuerdos,Washed + Honey,Honey,Geisha,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
El Salvador,2024,1,Los Morales,Natural,Natural,Geisha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
El Salvador,2024,2,El Angel,Natural,Natural,Sl28,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
El Salvador,2024,3,Campo Bello,Natural,Natural,Geisha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
El Salvador,2024,4,Don Octavio,Natural,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
El Salvador,2024,5,Los Naranjos,Natural,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
El Salvador,2024,6,Mirador,Natural,Natural,Sl28,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
El Salvador,2024,7,Plan Del Hoyo,Natural,Natural,Sl28,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
El Salvador,2024,8,"Finca  El Pital Coffee Estate, S.A. De C.V..",Natural,Natural,Geisha 50% / Tipica 50%,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
El Salvador,2024,9,Holanda,Natural,Natural,Pacamara 50% / Anacafe 50%,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
El Salvador,2024,10,El Angel,Natural,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2024/
El Salvador,2025,1A,Santa Rosa,Washed + Honey,Honey,Pacamara,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,2,Los Morales,Washed + Honey,Honey,Pacamara,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,3,Los Naranjos,Washed + Honey,Honey,Geisha,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,4,La Esperanza,Washed + Honey,Honey,Bernardina,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,5,Miramar,Washed + Honey,SemiWashed,Bourbon 50% /Typica 50%,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,6,Finca El Pezote,Washed + Honey,Washed,Pacamara,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,7,El Izotal,Washed + Honey,Washed,Geisha,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,8,Finca El Durazno,Washed + Honey,Washed,Pacamara,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,1A,La Pacaya,Natural,Natural,Geisha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,2,Los Morales,Natural,Natural,Geisha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,3,El Conacaste,Natural,Natural,Geisha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,4,El Angel,Natural,Natural,Pacamara Amarillo,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,5,Plan Del Hoyo,Natural,Natural,Geisha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,6,La Alegria,Natural,Natural,Anacafe 14,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,7,Finca Altamira,Natural,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,8,Llano Grande,Natural,Natural,Geisha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,9,Los Bellotos,Natural,Natural,Bernardina,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,10,El Izotal,Natural,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,11,Campo Bello,Natural,Natural,Geisha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
El Salvador,2025,12,El Cerro,Natural,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2025/
Ethiopia,2021,2a,NA,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,3a,NA,NA,Natural,Typica,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,4,NA,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,5,NA,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,6,NA,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,7,NA,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,8,NA,NA,Washed,74158,Washed,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,9,NA,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,10,NA,NA,Natural,Heirloom typica,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,11,NA,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,12,NA,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,13,NA,NA,Natural,Kurume,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
