country,year,event_name,event_type,source_url,accessed_at,active,notes
Guatemala,2011,2011,COE,https://allianceforcoffeeexcellence.org/guatemala-2011/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2012,2012,COE,https://allianceforcoffeeexcellence.org/guatemala-2012/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2013,2013,COE,https://allianceforcoffeeexcellence.org/guatemala-2013/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2014,2014,COE,https://allianceforcoffeeexcellence.org/guatemala-2014/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2015,2015,COE,https://allianceforcoffeeexcellence.org/guatemala-2015/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2016,2016,COE,https://allianceforcoffeeexcellence.org/guatemala-2016/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2017,2017,COE,https://allianceforcoffeeexcellence.org/guatemala-2017/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2018,2018,COE,https://allianceforcoffeeexcellence.org/guatemala-2018/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2019,2019,COE,https://allianceforcoffeeexcellence.org/guatemala-2019/,2026-09-13,TRUE,Official ACE historical results page
Guatemala,2020,Guatemala 2020,COE,https://allianceforcoffeeexcellence.org/guatemala-2020/,2026-09-11,TRUE,Official ACE historical results page
Guatemala,2021,Guatemala 2021,COE,https://allianceforcoffeeexcellence.org/guatemala-2021/,2026-09-11,TRUE,Official ACE historical results page
Guatemala,2022,Guatemala 2022,COE,https://allianceforcoffeeexcellence.org/guatemala-2022/,2026-09-11,TRUE,Official ACE historical results page
Guatemala,2023,Guatemala 2023,COE,https://allianceforcoffeeexcellence.org/guatemala-2023/,2026-09-11,TRUE,Official ACE historical results page
Guatemala,2024,Guatemala 2024,COE,https://allianceforcoffeeexcellence.org/guatemala-2024/,2026-09-11,TRUE,Official ACE historical results page
Guatemala,2025,Guatemala 2025,COE,https://allianceforcoffeeexcellence.org/guatemala-2025/,2026-09-11,TRUE,Official ACE historical results page
Honduras,2004,2004,COE,https://allianceforcoffeeexcellence.org/honduras-2004/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2005,2005,COE,https://allianceforcoffeeexcellence.org/honduras-2005/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2006,2006,COE,https://allianceforcoffeeexcellence.org/honduras-2006/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2007,2007,COE,https://allianceforcoffeeexcellence.org/honduras-2007/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2008,2008,COE,https://allianceforcoffeeexcellence.org/honduras-2008/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2009,2009,COE,https://allianceforcoffeeexcellence.org/honduras-2009/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2010,2010,COE,https://allianceforcoffeeexcellence.org/honduras-2010/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2011,2011,COE,https://allianceforcoffeeexcellence.org/honduras-2011/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2012,2012,COE,https://allianceforcoffeeexcellence.org/honduras-2012/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2013,2013,COE,https://allianceforcoffeeexcellence.org/honduras-2013/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2014,2014,COE,https://allianceforcoffeeexcellence.org/honduras-2014/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2015,2015,COE,https://allianceforcoffeeexcellence.org/honduras-2015/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2016,2016,COE,https://allianceforcoffeeexcellence.org/honduras-2016/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2017,2017,COE,https://allianceforcoffeeexcellence.org/honduras-2017/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2018,2018,COE,https://allianceforcoffeeexcellence.org/honduras-2018/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2019,2019,COE,https://allianceforcoffeeexcellence.org/honduras-2019/,2026-09-13,TRUE,Official ACE historical results page
Honduras,2021,Honduras 2021,COE,https://allianceforcoffeeexcellence.org/honduras-2021/,2026-09-11,TRUE,Official ACE historical results page
Honduras,2022,Honduras 2022,COE,https://allianceforcoffeeexcellence.org/honduras-2022/,2026-09-11,TRUE,Official ACE historical results page
Honduras,2023,Honduras 2023,COE,https://allianceforcoffeeexcellence.org/honduras-2023/,2026-09-11,TRUE,Official ACE historical results page
Honduras,2024,Honduras 2024,COE,https://allianceforcoffeeexcellence.org/honduras-2024/,2026-09-11,TRUE,Official ACE historical results page
Honduras,2025,Honduras 2025,COE,https://allianceforcoffeeexcellence.org/honduras-2025/,2026-09-11,TRUE,Official ACE historical results page
Indonesia,2021,Indonesia 2021,COE,https://allianceforcoffeeexcellence.org/indonesia-2021/,2026-09-11,TRUE,Official ACE historical results page
Indonesia,2022,Indonesia 2022,COE,https://allianceforcoffeeexcellence.org/indonesia-2022/,2026-09-11,TRUE,Official ACE historical results page
Indonesia,2023,Indonesia 2023,COE,https://allianceforcoffeeexcellence.org/indonesia-2023/,2026-09-11,TRUE,Official ACE historical results page
Mexico,2012,2012,COE,https://allianceforcoffeeexcellence.org/mexico-2012/,2026-09-13,TRUE,Official ACE historical results page
Mexico,2013,2013,COE,https://allianceforcoffeeexcellence.org/mexico-2013/,2026-09-13,TRUE,Official ACE historical results page
Mexico,2014,2014,COE,https://allianceforcoffeeexcellence.org/mexico-2014/,2026-09-13,TRUE,Official ACE historical results page
Mexico,2015,2015,COE,https://allianceforcoffeeexcellence.org/mexico-2015/,2026-09-13,TRUE,Official ACE historical results page
Mexico,2017,2017,COE,https://allianceforcoffeeexcellence.org/mexico-2017/,2026-09-13,TRUE,Official ACE historical results page
Mexico,2018,2018,COE,https://allianceforcoffeeexcellence.org/mexico-2018/,2026-09-13,TRUE,Official ACE historical results page
Mexico,2019,2019,COE,https://allianceforcoffeeexcellence.org/mexico-2019/,2026-09-13,TRUE,Official ACE historical results page
Mexico,2021,Mexico 2021,COE,https://allianceforcoffeeexcellence.org/mexico-2021/,2026-09-11,TRUE,Official ACE historical results page
Mexico,2022,Mexico 2022,COE,https://allianceforcoffeeexcellence.org/mexico-2022/,2026-09-11,TRUE,Official ACE historical results page
Mexico,2023,Mexico 2023,COE,https://allianceforcoffeeexcellence.org/mexico-2023/,2026-09-11,TRUE,Official ACE historical results page
